GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,aco,act,aqc,at,capx,ceq,dt,ebit,icapt,lct,ni,revt,seq,xrd,xrdp,costat,sic
001045,31/12/1998,1998,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,663.0000,4875.0000,,22303.0000,2661.0000,6698.0000,,2338.0000,10898.0000,5639.0000,1314.0000,19205.0000,6698.0000,,,A,4512
001045,31/12/1999,1999,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,791.0000,4424.0000,,24374.0000,3539.0000,6858.0000,6227.0000,1156.0000,12547.0000,5864.0000,985.0000,17730.0000,6858.0000,,,A,4512
001045,31/12/2000,2000,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,886.0000,5179.0000,,26213.0000,3678.0000,7176.0000,6270.0000,1381.0000,12650.0000,6990.0000,813.0000,19703.0000,7176.0000,,,A,4512
001045,31/12/2001,2001,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,1312.0000,6540.0000,742.0000,32841.0000,3640.0000,5373.0000,10606.0000,-1860.0000,15207.0000,7512.0000,-1762.0000,18963.0000,5373.0000,,0.0000,A,4512
001045,31/12/2002,2002,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,96.0000,4937.0000,0.0000,30267.0000,1881.0000,957.0000,13178.0000,-2622.0000,13267.0000,7240.0000,-3511.0000,17299.0000,957.0000,,,A,4512
001045,31/12/2003,2003,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,237.0000,4682.0000,0.0000,29330.0000,680.0000,46.0000,13930.0000,-795.0000,13172.0000,6559.0000,-1228.0000,17440.0000,46.0000,,,A,4512
001045,31/12/2004,2004,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,240.0000,4971.0000,0.0000,28773.0000,1027.0000,-581.0000,14330.0000,-133.0000,12943.0000,7018.0000,-761.0000,18645.0000,-581.0000,,,A,4512
001045,31/12/2005,2005,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,334.0000,6164.0000,0.0000,29495.0000,681.0000,-1478.0000,14695.0000,102.0000,11978.0000,8320.0000,-861.0000,20712.0000,-1478.0000,,,A,4512
001045,31/12/2006,2006,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,225.0000,6902.0000,0.0000,29145.0000,530.0000,-606.0000,13390.0000,1060.0000,11435.0000,8505.0000,231.0000,22563.0000,-606.0000,,,A,4512
001045,31/12/2007,2007,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,638.0000,7229.0000,0.0000,28571.0000,714.0000,2657.0000,11142.0000,1029.0000,12750.0000,8483.0000,504.0000,22896.0000,2657.0000,,,A,4512
001045,31/12/2008,2008,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,1033.0000,5935.0000,0.0000,25175.0000,876.0000,-2935.0000,10957.0000,-573.0000,6066.0000,9374.0000,-2071.0000,23766.0000,-2935.0000,,,A,4512
001045,31/12/2009,2009,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,458.0000,6642.0000,0.0000,25438.0000,1521.0000,-3489.0000,11697.0000,-745.0000,7094.0000,7728.0000,-1468.0000,19917.0000,-3489.0000,,,A,4512
001045,31/12/2010,2010,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,560.0000,6838.0000,0.0000,25088.0000,1962.0000,-3945.0000,11136.0000,308.0000,5308.0000,8780.0000,-471.0000,22170.0000,-3945.0000,,,A,4512
001045,31/12/2011,2011,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,499.0000,6757.0000,0.0000,23848.0000,1610.0000,-7111.0000,8220.0000,-286.0000,-409.0000,8630.0000,-1979.0000,24022.0000,-7111.0000,,,A,4512
001045,31/12/2013,2013,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,1465.0000,14323.0000,-206.0000,42278.0000,3114.0000,-2731.0000,16799.0000,1935.0000,12622.0000,13806.0000,-1834.0000,26712.0000,-2731.0000,,,A,4512
