GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,act,aqc,at,capx,ceq,ebit,ebitda,epsfi,epsfx,epspi,epspx,fincf,ivncf,lct,lo,lt,ni,oancf,revt,seq,teq,xrd,costat
1004,2021-05-31,2020,INDL,C,D,STD,USD,937.0000,0.0000,1539.7000,11.3000,974.4000,65.5000,101.8000,1.0000,1.3000,1.0100,1.3100,-469.5000,-0.5000,336.8000,25.4000,565.3000,35.8000,105.2000,1651.4000,974.4000,974.4000,,A
1004,2022-05-31,2021,INDL,C,D,STD,USD,1007.2000,0.0000,1573.9000,17.3000,1034.5000,116.2000,149.3000,2.1700,2.1600,2.2000,2.1900,-59.8000,-16.5000,348.2000,14.9000,539.4000,78.7000,75.2000,1817.1000,1034.5000,1034.5000,,A
1004,2023-05-31,2022,INDL,C,D,STD,USD,1097.9000,103.3000,1833.1000,29.5000,1099.1000,151.4000,179.3000,2.5300,2.5200,2.5600,2.5500,137.7000,-138.0000,351.5000,31.0000,734.0000,90.2000,23.3000,1990.6000,1099.1000,1099.1000,,A
1045,2020-12-31,2020,INDL,C,D,STD,USD,11095.0000,0.0000,62008.0000,1958.0000,-6867.0000,-11387.0000,-9022.0000,-18.3600,-18.3600,-18.3600,-18.3600,10994.0000,-4342.0000,16569.0000,15724.0000,68875.0000,-8885.0000,-6543.0000,17337.0000,-6867.0000,-6867.0000,,A
1045,2021-12-31,2021,INDL,C,D,STD,USD,17336.0000,0.0000,66467.0000,412.0000,-7340.0000,-5514.0000,-3179.0000,-3.0900,-3.0900,-3.0900,-3.0900,5288.0000,-5983.0000,19006.0000,12611.0000,73807.0000,-1993.0000,704.0000,29882.0000,-7340.0000,-7340.0000,,A
1045,2022-12-31,2022,INDL,C,D,STD,USD,15269.0000,0.0000,64716.0000,2906.0000,-5799.0000,1805.0000,4103.0000,0.1900,0.1900,0.2000,0.2000,-2631.0000,636.0000,21496.0000,10061.0000,70515.0000,127.0000,2173.0000,48971.0000,-5799.0000,-5799.0000,,A
1045,2023-12-31,2023,INDL,C,D,STD,USD,13572.0000,0.0000,63058.0000,2596.0000,-5202.0000,4013.0000,6267.0000,1.2100,1.2100,1.2600,1.2600,-3206.0000,-502.0000,22062.0000,10476.0000,68260.0000,822.0000,3803.0000,52788.0000,-5202.0000,-5202.0000,,A
1050,2020-12-31,2020,INDL,C,D,STD,USD,183.4850,5.8950,419.3140,3.9450,202.6580,20.5930,30.5140,0.2300,0.2300,0.2300,0.2300,3.7240,-9.2350,109.3560,13.7930,215.7030,8.2110,4.4210,316.0110,202.6580,203.6110,,A
1050,2021-12-31,2021,INDL,C,D,STD,USD,189.0110,0.0000,416.1970,2.6160,204.5540,12.0400,21.8930,0.0400,0.0400,0.0400,0.0400,-15.5560,-2.0830,116.6850,8.6430,210.2400,1.4260,13.2980,324.1400,204.5540,205.9570,,A
1050,2022-12-31,2022,INDL,C,D,STD,USD,240.6580,44.9000,504.7210,3.3760,213.2240,25.2140,35.8280,0.5000,0.5000,0.5000,0.5000,38.1760,-48.2570,146.7000,9.5920,286.5730,17.4170,29.6490,422.6270,213.2240,218.1480,,A
1062,2020-11-30,2020,INDL,C,D,STD,USD,,,464.7400,,463.9360,-2.6410,-2.6410,9.2500,9.2500,9.2500,9.2500,,,,0.4920,0.8040,178.4430,,1.3330,463.9360,463.9360,,A
1062,2021-11-30,2021,INDL,C,D,STD,USD,,,482.6940,,481.8980,-1.6870,-1.6870,0.9500,0.9500,0.9500,0.9500,,,,0.4810,0.7960,18.3480,,2.6740,481.8980,481.8980,,A
1062,2022-11-30,2022,INDL,C,D,STD,USD,,,326.2640,,325.5730,-1.4050,-1.4050,-8.0800,-8.0800,-8.0800,-8.0800,,,,0.4880,0.6910,-155.9400,,2.5500,325.5730,325.5730,,A
1062,2023-11-30,2023,INDL,C,D,STD,USD,,,335.6190,,334.9120,-1.0790,-1.0790,0.5000,0.5000,0.5000,0.5000,,,,0.5040,0.7070,9.7260,,2.3940,334.9120,334.9120,,A
1075,2020-12-31,2020,INDL,C,D,STD,USD,1198.3190,0.0000,20020.4210,1345.1140,5633.5030,788.1520,1402.5300,4.8700,4.8700,4.8900,4.8900,361.1380,-1277.8180,1360.4330,3904.8180,14267.6280,550.5590,966.3650,3586.9820,5633.5030,5752.7930,,A
1075,2021-12-31,2021,INDL,C,D,STD,USD,1551.1000,0.0000,22003.2220,1494.5270,5906.2000,805.3100,1456.1850,5.4700,5.4700,5.4800,5.4800,476.9160,-1386.9290,1756.8690,4084.3250,15981.7620,618.7200,860.0140,3803.8350,5906.2000,6021.4600,,A
1075,2022-12-31,2022,INDL,C,D,STD,USD,1750.5540,0.0000,22723.4050,1735.5200,6048.6470,731.9110,1485.1060,4.2600,4.2600,4.2700,4.2700,371.4680,-1618.0460,1762.1410,3855.7570,16563.5290,483.6020,1241.4410,4324.3850,6048.6470,6159.8760,,A
1076,2020-12-31,2020,INDL,C,D,STD,USD,,14.7930,1317.4040,64.3450,986.1360,299.1810,2083.9170,-0.9000,3.4300,-0.9100,3.4700,-362.5540,-114.5350,,46.5650,331.2680,-61.4650,455.9640,2484.5950,986.1360,986.1360,,A
1076,2021-12-31,2021,INDL,C,D,STD,USD,,22.7660,1621.7610,9.5550,679.4080,323.7880,2177.0560,3.6700,3.6700,3.6900,3.6900,-30.2810,-82.1660,,93.5210,942.3530,243.5570,245.9610,2677.9200,679.4080,679.4080,,A
1076,2022-12-31,2022,INDL,C,D,STD,USD,,-0.0060,1491.9090,9.6740,570.4610,204.7970,1996.3780,1.9000,1.9000,1.9000,1.9000,-227.2240,-53.5340,,88.1840,921.4480,98.7090,242.4790,2597.8260,570.4610,570.4610,,A
