,GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,aco,act,aqc,at,capx,ceq,ebit,icapt,lct,ni,revt,seq,xrd,xrdp,costat,sic
26,1075,31/12/1999,1999,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,68.725,498.794,0.0,6608.506,343.448,2205.733,578.777,4411.785,495.49,168.903,2423.353,2205.733,,,A,4911
27,1075,31/12/2000,2000,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,103.791,793.913,0.0,7149.151,658.608,2382.714,675.971,4337.797,1191.298,302.332,3690.175,2382.714,,,A,4911
28,1075,31/12/2001,2001,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,147.176,727.405,0.0,7981.748,1040.585,2499.323,674.627,5172.401,1090.929,312.166,4551.373,2499.323,,,A,4911
29,1075,31/12/2002,2002,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,167.234,812.688,0.0,8425.806,895.522,2686.153,516.047,5567.848,1055.115,149.408,2637.279,2686.153,,,A,4911
30,1075,31/12/2003,2003,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,170.664,969.047,0.0,9536.378,722.919,2829.779,482.053,5727.504,1150.974,240.579,2817.852,2829.779,,,A,4911
31,1075,31/12/2004,2004,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,214.55,1137.13,0.0,9896.747,554.543,2950.196,506.259,5535.181,1625.896,243.195,2899.725,2950.196,,,A,4911
32,1075,31/12/2005,2005,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,1106.293,1891.392,185.046,11322.645,645.55,3424.964,653.851,6033.419,2272.073,176.267,2987.955,3424.964,,,A,4911
33,1075,31/12/2006,2006,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,710.946,1474.662,0.0,11455.943,758.769,3446.116,618.87,6678.749,1458.56,327.255,3401.748,3446.116,,,A,4911
34,1075,31/12/2007,2007,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,163.621,947.447,0.0,11243.712,941.644,3531.611,619.251,6658.736,1384.967,307.143,3523.62,3531.611,,,A,4911
35,1075,31/12/2008,2008,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,134.157,882.482,0.0,11620.093,954.397,3445.979,530.546,6477.582,1505.928,242.125,3367.076,3445.979,,,A,4911
36,1075,31/12/2009,2009,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,158.079,928.737,0.0,11808.155,775.354,3316.109,580.226,6716.204,1083.16,68.33,3297.101,3316.109,,,A,4911
37,1075,31/12/2010,2010,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,199.235,931.93,0.0,12362.703,765.152,3683.327,723.884,6821.02,1310.736,350.053,3263.645,3683.327,,,A,4911
38,1075,31/12/2011,2011,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,290.826,956.47,0.0,13111.018,902.708,3821.85,746.508,6949.64,1342.705,339.473,3241.379,3821.85,,,A,4911
39,1075,31/12/2012,2012,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,361.364,1005.726,0.0,13379.615,904.522,3972.806,851.755,7301.377,1083.542,381.542,3301.804,3972.806,,,A,4911
40,1075,31/12/2013,2013,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,380.876,1043.609,0.0,13508.686,1031.183,4194.47,846.323,7136.925,1618.644,406.074,3454.628,4194.47,,,A,4911
41,1075,31/12/2014,2014,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,314.666,973.435,0.0,14313.532,926.091,4367.493,811.242,7550.317,1559.143,397.595,3491.632,4367.493,,,A,4911
42,1075,31/12/2015,2015,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,203.291,890.516,0.0,15028.258,1092.346,4583.917,854.602,8181.848,1442.317,437.257,3495.443,4583.917,,,A,4911
43,1075,31/12/2016,2016,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,175.348,822.219,0.0,16004.253,1295.442,4803.622,855.984,8957.697,1292.946,442.034,3498.682,4803.622,,,A,4911
44,1075,31/12/2017,2017,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,298.058,1016.288,0.0,17019.082,1430.886,5006.69,934.427,9925.443,1197.852,488.456,3565.296,5006.69,,,A,4911
45,1075,31/12/2018,2018,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,224.143,924.991,0.0,17664.202,1203.349,5222.915,773.687,9986.937,1648.964,511.047,3691.247,5222.915,,,A,4911
