PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14593,31/01/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,21/04/2019,,,,,1,6,62,1,142.19000,166.44000,166.44000,8286384,0.055154,166.27000,166.30000,4715280,4,4,166.44000,,31/01/2019,0.055154,0.088294,0.087067,0.120260,0.119340,0.078684
14593,28/02/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,29/01/2019,,,,,14/02/2019,11/02/2019,0,,,1232,0.73000,0.00000,0.00000,,,,,,,,1,6,63,1,166.52000,174.87000,173.14999,4728399,0.044701,173.16000,173.21001,4715280,4,4,173.14999,,28/02/2019,0.040315,0.032724,0.030666,0.038572,0.037065,0.029729
14593,29/03/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,,,,,,1,6,64,1,172.50000,195.09000,189.95000,6509946,0.097026,189.94000,189.97000,4715280,4,4,189.95000,,29/03/2019,0.097026,0.012962,0.011140,-0.003908,-0.006087,0.017924
14593,30/04/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,27/06/2019,,,,,1,6,64,1,191.24001,207.48000,200.67000,5069258,0.056436,200.50000,200.57001,4601075,4,4,200.67000,,30/04/2019,0.056436,0.037893,0.036700,0.020355,0.019162,0.039313
14593,31/05/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,30/04/2019,,,,,16/05/2019,13/05/2019,0,,,1232,0.77000,0.00000,0.00000,,,,,,,,1,6,66,1,175.07001,211.75000,175.07001,7394492,-0.123735,175.00000,175.02000,4601075,4,4,175.07001,,31/05/2019,-0.127573,-0.061679,-0.063898,-0.064571,-0.066402,-0.065778
14593,28/06/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,18/07/2019,,,,,1,6,65,1,173.30000,199.80000,197.92000,5161482,0.130519,197.91000,197.94000,4531395,4,4,197.92000,,28/06/2019,0.130519,0.067279,0.065283,0.049002,0.046094,0.068930
14593,31/07/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,26/09/2019,,,,,1,6,65,1,200.02000,213.03999,213.03999,4736504,0.076394,212.78000,212.78999,4519180,4,4,213.03999,,31/07/2019,0.076394,0.011854,0.010702,-0.005245,-0.006280,0.013128
14593,30/08/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,30/07/2019,,,,,15/08/2019,12/08/2019,0,,,1232,0.77000,0.00000,0.00000,,,,,,,,1,6,65,1,193.34000,212.64000,208.74001,6836722,-0.016570,208.73000,208.74001,4519180,4,4,208.74001,,30/08/2019,-0.020184,-0.020339,-0.022372,-0.040001,-0.041599,-0.018092
14593,30/09/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,17/10/2019,,,,,1,6,65,1,205.70000,223.97000,223.97000,5472803,0.072962,223.97000,223.98000,4443236,4,4,223.97000,,30/09/2019,0.072962,0.016033,0.014169,0.017681,0.015360,0.017181
14593,31/10/2019,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,26/12/2019,,,,,1,6,65,1,218.96001,249.05000,248.75999,6227831,0.110684,248.81000,248.83000,4443265,4,4,248.75999,,31/10/2019,0.110684,0.019257,0.018086,0.006291,0.005261,0.020432
